COMM,CODE,SPEC,COMM_FR,STACAC_CODE
RICHARDSON'S RAY,1021,BATHYRAJA RICHARDSONI,,
BREVIRAJA SP.,1022,BREVIRAJA SP.,,
BREVIRAJA PLUTONIA,1023,BREVIRAJA PLUTONIA,,
ILYOPHIS SP,1024,ILYOPHIS SP,,
VENEFICA PROCERA,1025,VENEFICA PROCERA,,
NOTACANTHIFORMES,1026,NOTACANTHIFORMES,,
HALOSAUROPSIS SP.,1027,HALOSAUROPSIS SP.,,
HALOSAUROPSIS MACROCHIR,1028,HALOSAUROPSIS MACROCHIR,,
ALDROVANDIA SP,1029,ALDROVANDIA SP,,
ALDROVANDIA AFFINIS,1030,ALDROVANDIA AFFINIS,,
BATHYTROCTES SP.,1031,BATHYTROCTES SP.,,
BATHYTROCTES MICROLEPIS,1032,BATHYTROCTES MICROLEPIS,,
BELLOCIA SP.,1033,BELLOCIA SP.,,
NARCETES SP.,1034,NARCETES SP.,,
NARCETES STOMIAS,1035,NARCETES STOMIAS,,
HOLTBYRNIA,1036,HOLTBYRNIA,,
BATHYPTEROIS SP.,1037,BATHYPTEROIS SP.,,
BATHYPTEROIS GRALLATOR,1038,BATHYPTEROIS GRALLATOR,,
BATHYPTEROIS LONGIPES,1039,BATHYPTEROIS LONGIPES,,
BATHYPTYPHLOPS MARIONAE,1040,BATHYPTYPHLOPS MARIONAE,,
LAEMONEMA SP.,1041,LAEMONEMA SP.,,
CORYPHAENOIDES LEPTOLEPIS,1042,CORYPHAENOIDES LEPTOLEPIS,,
BATHYPTEROIS VIRIDENSIS,1044,BATHYPTEROIS VIRIDENSIS,,
BATHYPTEROIS PHENAX,1045,BATHYPTEROIS PHENAX,,
BASSOGIGAS SP.,1047,BASSOGIGAS SP.,,
BASSOGIGAS PROFUNDISSIMUS,1048,BASSOGIGAS PROFUNDISSIMUS,,
BASSOZETUS TAENIA,1049,BASSOZETUS TAENIA,,
BLACK OREO,1050,NEOCYTTUS HELGAE,,
BATHYONUS LATICEPS,1051,BATHYONUS LATICEPS,,
ROULEINA SP.,1052,ROULEINA SP.,,
TRACHYRHYNCHUS SP.,1053,TRACHYRHYNCHUS SP.,,
DUCKBILL BARRACUDINA,1054,PARALEPIS ATLANTICA KROYER,,
SCOPELARCHIDAE F.,1055,SCOPELARCHIDAE F.,,
STEREOMASTIS SCULPTA,1056,STEREOMASTIS SCULPTA,,
BARATHRITES PARRI,1057,BARATHRITES PARRI,,
CORYPHAENOIDES GUENTHERI,1058,CORYPHAENOIDES GUENTHER,,
GREAT BARRADUDA,1059,SPHRAENA BARRACUDA,,
CORYPHAENOIDES CARAPINUS,1060,CORYPHAENOIDES CARAPINUS,,
CAELORINCHUS OCCA,1061,CAELORINCHUS OCCA,,
CETONURUS GLOBICEPS,1062,CETONURUS GLOBICEPS,,
GADOMUS ARCUATUS,1063,GADOMUS ARCUATUS,,
CORYPHAENOIDES SP,1064,CORYPHAENOIDES SP,,
CORYPHAENOIDES GUENTHERI,1065,CORYPHAENOIDES GUENTHERI,,
LYCODONUS MIRABILIS,1066,LYCODONUS MIRABILIS,,
PACHYCARA CRASSICEPS,1067,PACHYCARA CRASSICEPS,,
PINK FLABBY WHALEFISH,1068,CETOSTOMA REGANI,,
PLATYTROCTES APUS,1069,PLATYTROCTES APUS,,
BARATHRODEMUS MANATINUS,1070,BARATHRODEMUS MANATINUS,,
CATAETYX LATICEPS,1072,CATAETYX LATICEPS,,
BATHYTROCTES MACROGNATHUS,1073,BATHYTROCTES MACROGNATHUS,,
MONOMITOPIS AGASSIZII,1074,MONOMITOPIS AGASSIZII,,
GUTTIGADUS LATIFRONS,1075,GUTTIGADUS LATIFRONS,,
LAEMONEMA BARBATULUM,1076,LAEMONEMA BARBATULUM,,
BATHYCHAUNAX ROSEUS,1077,BATHYCHAUNAX ROSEUS,,
OPHIDIIFORMES (NS),1078,OPHIDIIFORMES,,
APOGON SP.,1080,APOGON SP.,,
BATHOPHILUS BREVIS,1081,BATHOPHILUS BREVIS,,
COELORINCHUS SP.,1082,COELORINCHUS SP.,,
DANAPHRYNE SP.,1083,DANAPHRYNE SP.,,
FISTULARIA PETIMBA,1084,FISTULARIA PETIMBA,,
LEPTACANTHICHTHYS SP.,1085,LEPTACANTHICHTHYS SP.,,
MELANOSTOMIAS BISERIATUS,1086,MELANOSTOMIAS BISERIATUS,,
NOTOCANTHUS BONAPARTE,1087,NOTOCANTHUS BONAPARTE,,
OPHIDION SP.,1088,OPHIDION SP.,,
PSEUDOSCOPELUS ALTIPINNUS,1089,PSEUDOSCOPELUS ALTIPINNUS,,
RHOMBOPLITES AURORUBENS,1090,RHOMBOPLITES AURORUBENS,,
UNIDENTIFIED SPECIES,1091,UNIDENTIFIED A,,
UNIDENTIFIED SPECIES,1092,UNIDENTIFIED B,,
UNIDENTIFIED SPECIES,1093,UNIDENTIFIED C,,
UNIDENTIFIED SPECIES,1094,UNIDENTIFIED D,,
UNIDENTIFIED SPECIES,1095,UNIDENTIFIED E,,
RINOCTES NASUTUS,1096,RINOCTES NASUTUS,,
SELENE SETAPINNIS,1097,SELENE SETAPINNIS,,
TRICHOPSETTA VENTRALIS,1098,TRICHOPSETTA VENTRALIS,,
FISH REMAINS,1099,FISH REMAINS,,
EGGS UNID.,1100,EGGS UNID.,Oeufs non-identifiÇ,
BOARFISH,1101,ANTIGONIA SP.,,
LEUCORAJA <35CM?,1191,LEUCORAJA SP.,,
PURSE DEEPWATER SKATE,1192,PURSE DEEPWATER SKATE,,
PURSE FRECKLED SKATE,1193,PURSE FRECKLED SKATE,,
PURSE ROSETTE SKATE,1194,PURSE ROSETTE SKATE,,
PURSE RAJA BIGELOW SKATE,1195,PURSE RAJA BIGELOW SKATE,,
PURSE WHITE SKATE,1196,PURSE WHITE SKATE,,
PURSE ABYSSAL SKATE,1197,PURSE ABYSSAL SKATE,,
PURSE ARCTIC SKATE,1198,PURSE ARCTIC SKATE,,
PURSE BARNDOOR SKATE,1199,PURSE BARNDOOR SKATE,,
FISH EGGS-UNIDENTIFIED,1200,FISH EGGS-UNIDENTIFIED,Oeufs de poissons non-identifiÇ,
PURSE THORNY SKATE,1201,PURSE THORNY SKATE,,
PURSE SMOOTH SKATE,1202,PURSE SMOOTH SKATE,,
PURSE LITTLE SKATE,1203,PURSE LITTLE SKATE,,
PURSE WINTER SKATE,1204,PURSE WINTER SKATE,,
PURSE SPINYTAIL SKATE,1205,PURSE SPINYTAIL SKATE,,
PURSE BRIER SKATE,1206,PURSE BRIER SKATE,,
PURSE ROUND SKATE,1207,PURSE ROUND SKATE,,
PURSE SOFT SKATE,1208,PURSE SOFT SKATE,,
PURSE JENSENS SKATE,1209,PURSE JENSENS SKATE,,
COD FAMILY (EGGS),1210,GADIDAE F.,Gadidae f. (Oeuf),
COD  EGGS,1211,GADUS MORHUA EGGS,Oeuf de morue,
HADDOCK EGGS,1212,MELANOGRAMMUS AEGLEFINUS EGGS,Oeuf d'Aiglefin,
MULLER'S PEARLSIDES EGGS,1215,MAUROLICUS MUELLERI,Maurolicus muelleri (Oeuf),
SEA RAVEN; EGGS,1218,HEMITRIPTERUS AMERICANUS; EGGS,,
SMOOTH FLOUNDER EGGS,1219,LIOPSETTA PUTNAMI EGGS,Plie lisse (Oeuf),
FOURSPOT FLOUNDER EGGS,1220,PARALICHTHYS OBLONGUS EGGS,Cardeau quatre ocelles (Oeuf),
HERRING EGGS,1221,CLUPEA HARENGUS EGGS,Hareng atlantique (Oeuf),
PLAICE EGGS,1222,HIPPOGLOSSOIDES PLATESSOIDES EGGS,Plie canadienne (Oeuf),
MACKEREL EGGS,1223,SCOMBER SCOMBRUS EGGS,Maquereau bleu (Oeuf),
SKATE UNID. EGGS,1224,RAJA EGGS,Oeufs de raie non spÇcifiÇs,
LUMPFISH  EGGS,1225,CYCLOPTERUS LUMPUS EGGS,Grosse poule de mer (Oeuf),
SAND LANCE EGGS,1226,AMMODYTES EGGS,Ammodytes sp. (Oeuf),
WITCH  EGGS,1227,GLYPTOCEPHALUS CYNOGLOSSUS EGGS,Plie grise (Oeuf),
SCULPIN EGGS UNID.,1228,MYOXOCEPHALUS EGGS,Chaboisseau sp. (Oeuf),
F.B. ROCKLING EGGS,1229,ENCHELYOPUS CIMBRIUS EGGS,Motelle Ö quatre barbillons (Oeuf),
YELLOWTAIL EGGS,1230,LIMANDA FERRUGINEA EGGS,Limande Ö queue jaune (Oeuf),
UNID. FLATFISH EGGS,1231,PLEURONECTIFORME EGGS,Pleuronectiformes o. (Oeuf),
CUNNER EGGS,1232,TAUTOGOLABRUS ADSPERSUS EGGS,Tanche-tautogue (Oeuf),
WHITE HAKE EGGS,1233,UROPHYCIS TENUIS EGGS,Merluche blanche (Oeuf),
BUTTERFISH EGGS,1234,PEPRILUS TRIACANTHUS EGGS,StromatÇe Ö fossette (Oeuf),
CUSK EGGS,1235,BROSME BROSME EGGS,Brosme (Oeuf),
HAKE SP./4BROCK/BUTTERFISH/WINDOWPANE,1236,H4B EGGS,,
COD/HADDOCK EGGS,1237,COD/HADDOCK EGGS,,
ANGLER/MONKFISH EGGS,1238,LOPHIUS AMERICANUS EGGS,Baudroie d'AmÇrique (Oeuf),
SILVER HAKE EGGS,1239,MERLUCCIUS BILINEARIS EGGS,Merlu argentÇ (Oeuf),
SILVER/L.F.HAKE EGGS,1240,SILVER/L.F.HAKE EGGS,,
S/L.F.HAKE/4B ROCK. EGGS,1241,S/L.F.HAKE/4B ROCK. EGGS,,
COD/HADDOCK/WITCH EGGS,1242,COD/HADDOCK/WITCH EGGS,,
CUSK/MACKEREL EGGS,1243,CUSK/MACKEREL EGGS,,
CUNNER/YELLOWTAIL EGGS,1244,CUNNER/YELLOWTAIL EGGS,,
OFFSHORE HAKE EGGS,1245,MERLUCCIUS ALBIDUS EGGS,Merlu blanc (Oeuf),
HAKE EGGS,1246,UROPHYCIS SP. EGGS,Merluches (Oeuf),
POLLOCK EGGS,1247,POLLACHIUS VIRENS EGGS,Goberge (Oeuf),
ATL HALIBUT EGGS,1248,HIPPOGLOSSUS HIPPOGLOSSUS EGGS,FlÇtan Atlantique (Oeuf),
BRILL-WINDOWPANE EGGS,1249,SCOPHTHALMUS AQUOSUS EGGS,Turbot de sable (Oeuf),
GULF STREAM FLOUNDER EGGS,1250,CITHARICHTHYS ARCTIFRONS EGGS,Turbot du Gulf Stream,
SUMMER FLOUNDER EGGS,1251,PARALICHTHYS DENTATUS EGGS,,
ARGENTINA SILUS EGGS,1252,ARGENTINA SILUS EGGS,,
WINTER FLOUNDER EGGS,1253,PSEUDOPLEURONECTES AMERICANUS EGGS,,
GONOSTOMATIDAE EGGS,1260,GONOSTOMATIDAE EGGS,,
ANCHOVY; EGGS,1263,ENGRAULIDAE; EGGS,,
GHOST CATSHARK,1264,APRISTURUS MANIS,,
BLACK SKATE; NORWEGIAN SKATE,1265,DIPTURUS NIDAROSIENSIS,,
BIGELOWS RAY,1266,RAJA BIGELOWI,,
SANDY RAY,1267,RAJA CIRCULARIS,,
RAJA KUKUJEVI,1268,RAJA KUKUJEVI,,
VAILLANTS GRENADIER,1269,BATHYGADUS MELANOBRANCHUS,,
SMOOTH GRENADIER,1270,NEZUMIA AEQUALIS,,
SMALLEYE SMOOTHHEAD,1271,ALEPOCEPHALUS PRODUCTUS,,
PALE RAY,1272,BATHYRAJA PALLIDA,,
HALOSAUROPSIS MACHAROCHIR,1273,HALOSAUROPSIS MACHAROCHIR,,
LEPIDION SCHMIDTI,1274,LEPIDION SCHMIDTI,,
SMALLSCALE SEARSID,1275,MAULESIA MICROLEPIS,,
ONERIDES,1276,ONERIDES SP.,,
ONOGADUS SPP.,1277,ONOGADUS SPP.,,
TRCHYSCORPID CRISTULATA ECHINATA,1278,TRCHYSCORPID CRISTULATA ECHINATA,,
TREMASTER MIRABILIS,1279,TREMASTER MIRABILIS,,
URASTERIAS LINCKI,1280,URASTERIAS LINCKI,,
ARISTAEPSIS EDWARDSINANA,1281,ARISTAEPSIS EDWARDSINANA,,
LEBBEUS MICROCEROS,1282,LEBBEUS MICROCEROS,,
SERGIA ROBUSTA,1283,SERGIA ROBUSTA,,
CRENELLA SP.,1284,CRENELLA SP.,,
COROPHIUM SP.,1285,COROPHIUM SP.,,
THICK-LIP DRILL,1286,EUPLEURA CAUDATA,,
COMMON NORTHERN MOOS-SHELL,1287,EUSPIRA HEROS,,
LORA NOBILIS,1288,LORA NOBILIS,,
UNIDENTIFIED SEASNAIL EGG,1295,LIPARIS SP. EGG,,
FISH LARVAE; UNID,1297,FISH LARVAE; UNID,,
CRUSTACEAN EGGS,1300,CRUSTACEA EGGS,,
INVERTEBRATE EGGS OTHER,1305,INVERTEBRATE EGGS OTHER,,
COPEPODA; EGGS,1309,COPEPODA; EGGS,,
DECAPOD EGGS,1310,DECAPODA EGGS,,
PANDALID EGGS,1311,PANDALID EGGS,,
HIPPOLYTID EGGS,1312,HYPPOLYTID EGGS,,
CRAGONID EGGS,1313,CRAGONID EGGS,,
CRAB EGGS,1314,CRAB EGGS,,
LOBSTER EGGS,1315,LOBSTER EGGS,,
HERMIT EGGS,1316,HERMIT CRAB EGGS,,
ANNELID EGGS UNID.,1400,ANNELID EGGS,,
POLYCHAETE EGGS UNID.,1410,POLYCHAETA EGGS,,
SEA MOUSE EGGS UNID.,1420,APHRODITA ACULEATA EGGS,,
GEPHYREANS EGGS UNID.,1430,SIPUNCULA (GEPHYREA) EGGS,,
TUBE WORMS EGGS UNID.,1440,NEMATODA EGGS,,
MOLLUSC EGGS UNID.,1500,MOLLUSCA EGGS,,
WHELK EGGS (NS),1510,BUCCINIDAE EGGS,Oeufs de buccin non spÇcifiÇs,
SNAIL/SLUG EGGS,1511,GASTEROPODA EGGS,Oeufs de gastropode non spÇcifiÇs,
BIVALVE MOLLUS EGGS,1520,PELECYPODA EGGS,,
SQUID EGGS,1530,CEPHALOPODA UNID. EGGS,,
INVERTEBRATE EGGS,1600,INVERTEBRATE EGGS,Oeufs d'invretÇbrÇs non spÇcifiÇs,
FORAMINIFERA,1700,FORAMINIFERA O.,,
MARINE INVERTEBRATES (NS),1701,MARINE INVERTEBRATA (NS),InvertÇbrÇs,
ALLOGROMIA SP.,1725,ALLOGROMIA SP.,,
RADIOLARIDA O.,1750,RADIOLARIDA O.,,
PROTOCHORDATA SP.,1800,PROTOCHORDATA SP.,,
TUNICATA S.P.,1810,TUNICATA S.P.,Ascides / TruniquÇ sessile non spÇcifiÇ,
MOLGULIDAE F.,1815,MOLGULIDAE F.,,
ADULT ASCIDIANS,1820,ASCIDIA SP. ADULT,,
SEA SQUIRTS,1821,ASCIDIA SP.,,
DENDRODOA SP.,1822,DENDRODOA SP.,,
SEA POTATO,1823,BOLTENIA SP.,Patate de mer non spÇcifiÇe,
PELONAIA SP.,1824,PELONAIA SP.,,
LARVAL ASCIDIANS,1825,ASCIDIA SP. LARVAL,,
SEA GRAPES,1826,MOLGULA MANHATTENSIS,,
SEA PEACH,1827,HALOCYNTHIA PYRIFORMIS,Pàche de mer,
SAND BLISTERS,1828,AMPHIOXUS SP.,,
LARVACEA C.,1830,LARVACEA C.,Appendiculaires,
OIKOPLEURA SP.,1831,OIKOPLEURA SP.,,
SALPIDAE F.,1840,SALPIDAE F.,,
THALIACEA C.,1845,THALIACEA C.,Tuniciers (Thaliacea),
BRYOZOANS P.,1900,BRYOZOANS P.,,
LEMONWEED,1901,FLUSTRA FOLIACEA,,
ENTOPROCTA P.,1910,ENTOPROCTA P.,Entoproctes,
BRYOZOANS ECTOPROCTA,1920,BRYOZOANS ECTOPROCTA P.,Bryozoaires,
LAMPSHELLS,1930,BRYOZOANS BRACHIOPODA P.,Brachiopode non spÇcifiÇ,
RHYNCHONELLA SP.,1931,RHYNCHONELLA SP.,,
TEREBRATULINA SP.,1932,TEREBRATULINA SP.,,
PHORONIDA,1940,PHORONIDA,,
CRUSTACEA C.,2000,CRUSTACEA C.,CrustacÇs,
CRUSTACEA LARVAE,2001,CRUSTACEA LARVAE,,
CRUSTACEAN REMAINS,2005,CRUSTACEAN REMAINS,,
DECAPODA LARVAE,2010,DECAPODA LARVAE,,
SHRIMPS,2100,DECAPODA O.,decapode non spÇcifiÇ,
PANDALIDAE F.,2200,PANDALIDAE F.,Crevette pandalide,
PANDALUS SP.,2210,PANDALUS SP.,Crevette (Pandalus),
PANDALUS BOREALIS,2211,PANDALUS BOREALIS,Crevette nordique,
PANDALUS MONTAGUI,2212,PANDALUS MONTAGUI,Crevette Çsope,
WAS PANDALUS PROPINQUUS,2213,ATLANTOPANDALUS PROPINQVUS,Crevette,
DICHELOPANDALUS LEPTOCERUS,2214,DICHELOPANDALUS LEPTOCERUS,Crevette,
DICHELOPANDALUS SP.,2215,DICHELOPANDALUS SP.,Crevettes,
PASIPHAEIDAE F.,2219,PASIPHAEIDAE F.,Crevettes (PasiphaidÇs),
SHRIMP,2220,PASIPHAEA TARDA,Sivade,
PASIPHAEA MULTIDENTATA,2221,PASIPHAEA MULTIDENTATA,Sivade rose (Crevette blanche),
PARAPASIPHAEA SULCATIFRONS,2222,PARAPASIPHAEA SULCATIFRONS,,
SERGESTES ARCTICUS,2223,SERGESTES ARCTICUS,,
PALAEMONIDAE F.,2240,PALAEMONIDAE F.,Crevettes,
COMMON SHORE SHRIMP;COMMON PRAWN,2245,PALAEMONETES VULGARIS,Bouquet des marais,
HIPPOLYTIDAE F.,2300,HIPPOLYTIDAE F.,Boucs,
EEL GRASS SHRIMP,2309,HIPPOLYTE ZOSTERICOLA,,
SPIRONTOCARIS,2310,SPIRONTOCARIS SP.,Boucs,
SPIRONTOCARIS FABRICI,2311,SPIRONTOCARIS FABRICII (OBSOLETE),,
LEBBEUS POLARIS,2312,LEBBEUS POLARIS,Bouc (crevette),
SPIRONTOCARIS LILJEBORGII,2313,SPIRONTOCARIS LILJEBORGII,Bouc Çpineux,
SPIRONTOCARIS MACILENTA,2314,SPIRONTOCARIS MACILENTA (OBSOLETE),,
SPIRONTOCARIS PHIPPSII,2315,SPIRONTOCARIS PHIPPSII,Bouc,
SPIRONTOCARIS SPINUS,2316,SPIRONTOCARIS SPINUS,Bouc perroquet,
EUALUS PUSIOLUS,2317,EUALUS PUSIOLUS,Bouc,
CARIDION GORDONI,2318,CARIDION GORDONI,Bouc,
LEBBEUS GROENLANDICUS,2319,LEBBEUS GROENLANDICUS,Bouc,
LEBBEUS SP.,2320,LEBBEUS SP.,Boucs,
LEBBEUS ZEBRA,2321,LEBBEUS ZEBRA,Bouc,
EUALUS SP.,2330,EUALUS SP.,Boucs,
EUALUS MACILENTUS,2331,EUALUS MACILENTUS,Bouc du Groenland,
EUALUS FABRICII,2332,EUALUS FABRICII,Bouc Arctique,
EUALUS GAIMARDII,2333,EUALUS GAIMARDII,Bouc,
CLADOCERA O.,2350,CLADOCERA O.,Cladocäres,
PODON SP.,2351,PODON SP.,,
EVADNE SP.,2352,EVADNE SP.,,
OPLOPHORIDAE F.,2360,OPLOPHORIDAE F.,,
ACANTHEPHYRA SP.,2361,ACANTHEPHYRA SP.,,
ACANTHEPHYRA PURPUREA,2362,ACANTHEPHYRA PURPUREA,,
ACANTHEPHYRA EXEMIA,2363,ACANTHEPHYRA EXEMIA,,
NOTOMASTUS ROBUSTUS,2365,NOTOMASTUS ROBUSTUS,,
NOTOMASTUS ELEGANS,2366,NOTOMASTUS ELEGANS,,
NOTOMASTUS SP.,2367,NOTOMASTUS SP.,,
OPLOPHORUS SPINOSUS,2369,OPLOPHORUS SPINOSUS,,
CRANGONIDAE   F.,2400,CRANGONIDAE F.,Crevettes,
SNAPPING SHRIMP,2401,SNAPPING SHRIMP (OBSOLETE),,
ARGIS SP.,2410,ARGIS SP.,Crevettes,
ARGIS DENTATA,2411,ARGIS DENTATA,Crevette verte,
PONTOPHILUS BREVIROSTRIS,2412,PONTOPHILUS BREVIROSTRIS,Crevette,
SCLEROCRANGON SP.,2413,SCLEROCRANGON SP.,Crevettes,
SCLEROCRANGON BOREAS,2414,SCLEROCRANGON BOREAS,Crevette de roche (ciselÇe),
PONTOPHILUS NORVEGICUS,2415,PONTOPHILUS NORVEGICUS,Crevette,
CRANGON SP.,2416,CRANGON SP.,Crevette grise non spÇcifiÇe,
CRANGON SEPTEMSPINOSA,2417,CRANGON SEPTEMSPINOSA,Crevette sable,
SABINEA SARSI,2419,SABINEA SARSI,,
SABINEA SP.,2420,SABINEA SP.,Crevettes,
SABINEA SEPTEMCARINATA,2421,SABINEA SEPTEMCARINATA,Crevette,
PENAEIDAE F.,2450,PENAEIDAE F.,Crevettes,
SERGESTIDAE F.,2460,SERGESTIDAE F.,,
SERGESTES SP.,2461,SERGESTES SP.,,
ARISTEIDAE F,2470,ARISTEIDAE F,,
GENNADAS SP.,2471,GENNADAS SP.,,
SHRIMP-LIKE,2499,SHRIMP-LIKE,,
CRAB,2507,CRAB,,
CALAPPIDAE F.,2508,CALAPPIDAE F.,,
CANCER CRAB (NS),2509,CANCRIDAE F.,Crabes,
BRACHIURAN CRABS,2510,BRACHYURA S.,Crabes,
JONAH CRAB,2511,CANCER BOREALIS,Crabe tourteau boreal,
BLUE CRAB,2512,CALLINECTES SAPIDUS,,
ATLANTIC ROCK CRAB,2513,CANCER IRRORATUS,Crabe tourteau commun,
HORSESHOE CRAB (AMERICAN),2514,LIMULUS POLYPHEMUS,,
PORTUNIDAE F.,2515,PORTUNIDAE F.,Crabes,
CRAB(ANOMURA),2516,CRAB(ANOMURA),,
SAY MUD CRAB,2517,DYSPANOPEUS SAYI,,
BLACK FINGERED MUD CRAB,2518,NEOPANOPE SAYI,,
SPIDER CRAB (NS),2519,MAJIDAE F.,Crabes araignÇe,
TOAD CRAB;UNIDENT.,2520,HYAS SP.,Crabes lyre,
HYAS COARCTATUS,2521,HYAS COARCTATUS,Crabe lyre (arctique),
SPIDER/(QUEEN;SNOW)UNID,2522,CHIONOECETES SP. (OBSOLETE),Crabe des neiges,
NORTHERN STONE CRAB,2523,LITHODES MAJA,Crabe Çpineux du Nord,
CANCER SP.,2524,CANCER SP.,Crabe commun non spÇcifiÇ,
SPINY CRAB,2525,LITHODES/NEOLITHODES,,
SNOW CRAB (QUEEN),2526,CHIONOECETES OPILIO,Crabe des neiges,
TOAD CRAB,2527,HYAS ARANEUS,Crabe lyre (araignÇe),
PORCUPINE CRAB,2528,NEOLITHODES GRIMALDII,Crabe Çpineux (AraignÇe de mer),
CALAPPA MEGALOPS,2529,CALAPPA MEGALOPS,,
GREEN CRAB,2531,CARCINUS MAENAS,Crabe vert,
RED DEEPSEA CRAB,2532,CHACEON QUINQUEDENS,Crabe abyssal rouge,
LYREIDUS BAIRDII,2533,LYREIDUS BAIRDII,,
SPIRORBIS SP.,2535,SPIRORBIS SP.,,
ERICTHONIUS RUBRICORNIS,2536,ERICTHONIUS RUBRICORNIS,,
UNCIOLA IRRORATA,2537,UNCIOLA IRRORATA,,
CRAB (OVALIPES SP),2538,CRAB (OVALIPES SP),,
LADY CRAB,2539,OVALIPES OCELLATUS,,
AXIIDAE F.,2540,AXIIDAE F.,,
AXIUS SERRATUS,2541,AXIUS SERRATUS,,
AMERICAN LOBSTER,2550,HOMARUS AMERICANUS,Homard amÇricain,700
LOBSTER LARVAE,2551,HOMARUS AMERICANUS LARVAE,,
SHORT LOBSTER,2552,HOMARUS AMERICANUS (SHORT),,
BERRIED LOBSTER,2553,HOMARUS AMERICANUS (BERRIED),,
GALATHEIDAE F.,2554,GALATHEIDAE F.,,
MUNIDA IRIS,2555,MUNIDA IRIS,,
MUNIDA VALIDA,2556,MUNIDA VALIDA,,
PAGURUS POLITUS,2558,PAGURUS POLITUS,Bernard l'hermite,
HERMIT CRABS,2559,PAGURIDAE F.,,
PAGUROIDEA S.F.,2560,PAGUROIDEA S.F.,,
PAGURUS SP.,2561,PAGURUS SP.,Bernards l'hermite droitiers,
PAGURUS ACADIANUS,2562,PAGURUS ACADIANUS,Bernard l'hermite acadien,
PAGURUS KROYERI,2563,PAGURUS KROYERI (OBSOLETE),Bernard l'hermite,
PAGURUS PUBESCENS,2564,PAGURUS PUBESCENS,Bernard l'hermite,
MUD SHRIMP,2565,THALASSINIDAE S.F.,,
MUNIDOPSIS CURVIROSTRA,2566,MUNIDOPSIS CURVIROSTRA,,
CALOCARIS MACANDREAE,2567,CALOCARIS MACANDREAE,Crevettes fouisseuses,
PAGURUS ARCUATUS,2568,PAGURUS ARCUATUS,Bernard l'hermite chevelu,
KRILL SHRIMP,2600,EUPHAUSIACEA O.,Euphausides,
LIMACINA SP.,2605,LIMACINA SP.,PtÇropode (papillons de mer),
THECOSOMATA O.,2606,THECOSOMATA O.,PtÇropodes (thÇcosome),
EUPHAUSIIDAE F.,2610,EUPHAUSIIDAE F.,Euphausides,
MEGANYCTIPHANES NORVEGICA,2611,MEGANYCTIPHANES NORVEGICA,Euphauside,
EUPHAUSIA SP.,2612,EUPHAUSIA SP.,Euphausides,
EUPHAUSIA KROHNI,2613,EUPHAUSIA KROHNI,Euphauside,
THYSANOESSA SP.,2620,THYSANOESSA SP.,Euphausides,
THYSANOESSA RASCHII,2621,THYSANOESSA RASCHII,Euphauside,
THYSANOESSA INERMIS,2622,THYSANOESSA INERMIS,Euphauside,
THYSANOESSA LONGICAUDATA,2623,THYSANOESSA LONGICAUDATA,Euphauside,
THYSANOESSA ACUTIFRONS,2624,THYSANOESSA ACUTIFRONS,,
THYSANOPODA ACUTIFRONS,2631,THYSANOPODA ACUTIFRONS,,
OSTRACODA S.C.,2650,OSTRACODA S.C.,Ostracodes,
EUPHAUSIACEA/MYSIDACEA O.,2699,EUPHAUSIACEA/MYSIDACEA O.,,
MYSID SHRIMP,2700,MYSIDACEA O.,MysidacÇs,
MYSIS SP.,2710,MYSIS SP.,MysidacÇs,
MYSIS STENOLEPIS,2711,MYSIS STENOLEPIS,MysidacÇ,
MYSIS MIXTA,2712,MYSIS MIXTA,MysidacÇ,
MYSIS GASPENSIS,2713,MYSIS GASPENSIS,MysidacÇ,
MYSIS OCULATA,2714,MYSIS OCULATA,,
MYSIDAE F.,2715,MYSIDAE F.,,
PSEUDOMMA AFFINE,2721,PSEUDOMMA AFFINE,MysidacÇ,
PSEUDOMMA TRUNCATUM,2722,PSEUDOMMA TRUNCATUM,MysidacÇ,
ERYTHROPS ERYTHROPTHALMA,2731,ERYTHROPS ERYTHROPTHALMA,MysidacÇ,
METERYTHROPS ROBUSTUS,2732,METERYTHROPS ROBUSTUS,MysidacÇ,
STILOMYSIS GRANDIS,2733,STILOMYSIS GRANDIS,MysidacÇ,
NEOMYSIS AMERICANA,2734,NEOMYSIS AMERICANA,MysidacÇ,
BOREOMYSIS TRIDENS,2735,BOREOMYSIS TRIDENS,MysidacÇ,
EUCOPIIDAE F.,2760,EUCOPIIDAE F.,,
EUCOPIA SP.,2761,EUCOPIA SP.,,
LOPHOGASTRIDAE F.,2770,LOPHOGASTRIDAE F.,,
GNATHOPHAUSIA SP.,2771,GNATHOPHAUSIA SP.,,
PARDALISCA SP.,2790,PARDALISCA SP.,,
PARDALISCA CUSPIDATA,2791,PARDALISCA CUSPIDATA,,
PARDALISCA TENUIPES,2792,PARDALISCA TENUIPES,,
AMPHIPODA O.,2800,AMPHIPODA O.,Amphipodes,
AMPHIPOD,2801,HYPERIA MEDUSARUM,,
AMPHIPOD,2802,HYPERIA OCULATA,,
AMPHIPODS,2803,ARRHIS PHYLLONIX,,
NEOHELA MONSTROSA,2804,NEOHELA MONSTROSA,,
PARAMPHITHOE HYSTRIX,2805,PARAMPHITHOE HYSTRIX,Gammaride,
PARDALISCIDAE F.,2806,PARDALISCIDAE F.,Gammarides,
PLEUSTIDAE F.,2807,PLEUSTIDAE F.,,
